id,id_property,area,floor,char_view,char_general,char_bathroom,bed_linen,towels,dish_towels,beds_basic,beds_additional,broj_kreveta,broj_pom_kreveta,max_odraslih,min_ljudi,min_boravak
25772,10640,75.0,0,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishwasher,outdoor_dining_area,outside_shower,dishes,cooking_electric,microwave,coffee,tea,toaster",,included,included,included,6,2,0,0,0,0,0
25773,10640,25.0,0,,"terrace,air_condition,hairdryer,sattv,internet_wireless,refrigerator,outdoor_dining_area,outside_shower,dishes,cooking_electric,coffee,tea,toaster",,included,included,included,2,0,0,0,0,0,0
25774,10640,45.0,0,,"terrace,air_condition,hairdryer,sattv,internet_wireless,refrigerator,outdoor_dining_area,outside_shower,dishes,cooking_electric,coffee,tea,toaster",,included,included,included,2,2,0,0,0,0,0
25775,10640,32.0,0,,"air_condition,hairdryer,sattv,internet_wireless,refrigerator,outside_shower,dishes,cooking_electric,coffee,tea,toaster",,included,included,included,2,0,0,0,0,0,0
25776,10641,65.0,0,,"balcony,air_condition,tv,internet_wireless,refrigerator,outdoor_dining_area,grilling_not_allowed,dishes,cooking_gas,cooking_electric,tea",,included,included,included,4,0,0,0,0,0,0
25777,10642,85.0,0,,"terrace,air_condition,washing_machine,tv,internet_wireless,refrigerator,dishwasher,grilling_not_allowed,dishes,cooking_electric,coffee,tea,toaster",,included,included,included,4,0,0,0,0,0,0
25779,10642,70.0,0,,"balcony,air_condition,washing_machine,internet_wireless,refrigerator,dishwasher,grilling_not_allowed,dishes,cooking_electric,microwave,coffee,tea",,included,included,included,2,2,0,0,0,0,0
25778,10643,70.0,0,,"balcony,air_condition,washing_machine,sattv,internet_wireless,refrigerator,dishwasher,dishes,cooking_electric,microwave,coffee,tea,toaster",,included,included,included,2,2,0,0,0,0,0
25781,10644,60.0,0,,"terrace,air_condition,washing_machine,sattv,internet_wireless,refrigerator,dishes,cooking_gas,cooking_electric,microwave,coffee,tea",,included,included,included,4,0,0,0,0,0,0
25780,10645,75.0,0,,"balcony,air_condition,heating,washing_machine,hairdryer,sattv,internet_wireless,refrigerator,dishwasher,grilling_not_allowed,dishes,cooking_electric,microwave,coffee,tea",,included,included,included,4,2,0,0,0,0,0
25782,10646,0.0,0,,,,included,included,included,4,2,0,0,0,0,0
25783,10649,80.0,0,,"terrace,air_condition,sattv,internet_wireless,refrigerator,outdoor_dining_area,dishes,cooking_electric,coffee,tea",,included,included,included,4,1,0,0,0,0,0
25784,10649,90.0,0,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee,tea",,included,included,included,4,1,0,0,0,0,0
25797,10657,150.0,2,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishwasher,dishes,cooking_electric,coffee,tea,toaster",,included,included,included,6,0,0,0,0,0,0
25807,10669,70.0,0,,"balcony,air_condition,washing_machine,iron,sattv,internet_wireless,refrigerator,dishwasher,outdoor_dining_area,clothesdryer,grilling_not_allowed,dishes,cooking_electric,microwave,coffee,tea,toaster",,included,included,included,4,0,0,0,0,0,0
25808,10670,55.0,0,,"terrace,air_condition,sattv,internet_wireless,refrigerator,outdoor_dining_area,dishes,cooking_electric,coffee",,included,included,included,4,0,0,0,0,0,0
25812,10673,129.0,0,,"balcony,terrace,air_condition,heating,tv,internet_wireless,refrigerator,dishwasher,private_barbecue,outdoor_dining_area,dishes,cooking_electric,microwave,coffee,tea,stove,toaster,cooking_highchair",,included,included,included,4,2,0,0,0,0,0
25825,10677,100.0,0,,"terrace,air_condition,washing_machine,sattv,internet_wireless,refrigerator,dishwasher,private_barbecue,outdoor_dining_area,dishes,cooking_electric,microwave,coffee,tea,toaster",,included,included,included,6,2,0,0,0,0,0
25827,10679,45.0,0,,"balcony,air_condition,sattv,internet_wireless,refrigerator,outdoor_dining_area,outside_shower,dishes,cooking_electric,microwave,coffee,tea,toaster",,included,included,included,2,2,0,0,0,0,0
25828,10679,38.0,0,,"balcony,air_condition,washing_machine,sattv,internet_wireless,refrigerator,outdoor_dining_area,outside_shower,dishes,cooking_electric,coffee,tea,toaster",,included,included,included,2,2,0,0,0,0,0
25829,10679,38.0,0,,"balcony,air_condition,sattv,internet_wireless,refrigerator,outdoor_dining_area,outside_shower,dishes,cooking_electric,coffee,tea",,included,included,included,2,2,0,0,0,0,0
25830,10679,45.0,0,,"balcony,air_condition,sattv,internet_wireless,refrigerator,outdoor_dining_area,outside_shower,dishes,cooking_electric,microwave,coffee,tea,toaster",,included,included,included,2,2,0,0,0,0,0
25831,10679,35.0,0,,"terrace,air_condition,sattv,internet_wireless,refrigerator,outdoor_dining_area,outside_shower,dishes,cooking_electric,coffee,tea,toaster",,included,included,included,2,2,0,0,0,0,0
25832,10679,30.0,0,,"terrace,air_condition,sattv,internet_wireless,refrigerator,outdoor_dining_area,outside_shower,dishes,cooking_electric,coffee,tea,toaster",,included,included,included,2,2,0,0,0,0,0
